iter	Passed	Remaining
0	1	229
1	2	223
2	3	216
3	4	211
4	5	212
5	6	211
6	7	209
7	8	208
8	9	210
9	11	213
10	12	215
11	13	216
12	15	218
13	16	218
14	17	219
15	19	219
16	20	219
17	21	218
18	23	219
19	24	218
20	25	218
21	27	218
22	28	218
23	29	219
24	31	220
25	32	220
26	34	220
27	35	220
28	37	219
29	38	219
30	40	218
31	41	218
32	43	218
33	44	218
34	46	216
35	47	216
36	48	215
37	50	214
38	51	212
39	52	211
40	54	210
41	55	209
42	56	208
43	58	207
44	60	206
45	61	205
46	62	204
47	64	203
48	65	200
49	66	198
50	67	197
51	68	196
52	70	194
53	71	192
54	72	191
55	73	189
56	75	188
57	76	186
58	77	185
59	78	183
60	79	182
61	81	180
62	82	179
63	83	177
64	84	176
65	85	174
66	86	172
67	88	170
68	89	169
69	90	168
70	91	166
71	93	165
72	94	164
73	95	163
74	97	162
75	98	161
76	100	160
77	101	159
78	103	158
79	104	156
80	105	155
81	107	154
82	108	153
83	110	152
84	111	151
85	112	149
86	114	148
87	115	147
88	117	145
89	118	144
90	119	143
91	121	142
92	122	140
93	123	139
94	125	138
95	126	136
96	127	135
97	129	134
98	130	133
99	131	131
100	133	130
101	134	129
102	136	128
103	137	127
104	139	125
105	140	124
106	142	123
107	143	122
108	144	120
109	145	119
110	147	117
111	148	116
112	149	115
113	150	113
114	152	112
115	153	111
116	155	110
117	156	108
118	157	107
119	159	106
120	160	104
121	162	103
122	163	102
123	164	101
124	166	99
125	167	98
126	168	97
127	170	95
128	171	94
129	173	93
130	174	91
131	175	90
132	177	89
133	178	87
134	179	86
135	181	85
136	182	83
137	183	82
138	185	81
139	186	79
140	187	78
141	188	76
142	189	75
143	190	73
144	190	72
145	191	70
146	192	69
147	193	68
148	194	66
149	196	65
150	197	64
151	198	62
152	199	61
153	201	60
154	202	58
155	203	57
156	205	56
157	206	54
158	207	53
159	209	52
160	210	50
161	211	49
162	212	48
163	213	46
164	214	45
165	215	44
166	217	42
167	218	41
168	219	40
169	220	38
170	222	37
171	223	36
172	224	35
173	225	33
174	227	32
175	228	31
176	229	29
177	230	28
178	231	27
179	233	25
180	234	24
181	235	23
182	236	21
183	237	20
184	239	19
185	240	18
186	241	16
187	242	15
188	243	14
189	245	12
190	246	11
191	247	10
192	248	9
193	249	7
194	251	6
195	252	5
196	253	3
197	254	2
198	255	1
199	257	0
